revision;file;methodSignature
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_0662940_c8839ee/rev_0662940-c8839ee;/src/main/java/org/elasticsearch/cloud/aws/InternalAwsS3Service;client(String,String,String);
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_7c046d2_a5ab49d/rev_7c046d2-a5ab49d;/src/main/java/org/elasticsearch/search/aggregations/metrics/percentiles/InternalPercentileRanks;createReduced(String,double[],TDigestState,boolean,Map<String,Object>);
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_7c046d2_a5ab49d/rev_7c046d2-a5ab49d;/src/main/java/org/elasticsearch/search/aggregations/metrics/percentiles/InternalPercentiles;createReduced(String,double[],TDigestState,boolean,Map<String,Object>);
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_7c046d2_a5ab49d/rev_7c046d2-a5ab49d;/src/main/java/org/elasticsearch/search/aggregations/bucket/geogrid/GeoHashGridParser;createUnmapped(AggregationContext,Aggregator,Map<String,Object>);
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_7c046d2_a5ab49d/rev_7c046d2-a5ab49d;/src/main/java/org/elasticsearch/search/aggregations/metrics/tophits/InternalTopHits;reduce(ReduceContext);
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_e19d20b_fcc09f6/rev_e19d20b-fcc09f6;/src/main/java/org/elasticsearch/search/aggregations/InternalAggregation;reduce(ReduceContext);public final InternalAggregation reduce(ReduceContext reduceContext) {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_6ac4d6d_4f8ea78/rev_6ac4d6d-4f8ea78;/src/main/java/org/elasticsearch/index/translog/Translog;getPath(long);String getPath(long translogId);
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_3bb8ff2_528f648/rev_3bb8ff2-528f648;/src/main/java/org/elasticsearch/search/aggregations/bucket/nested/ReverseNestedAggregator;createInternal(AggregationContext,Aggregator,boolean,Map<String,Object>);
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_3bb8ff2_528f648/rev_3bb8ff2-528f648;/src/main/java/org/elasticsearch/search/aggregations/bucket/nested/NestedAggregator;createInternal(AggregationContext,Aggregator,boolean,Map<String,Object>);
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_3bb8ff2_528f648/rev_3bb8ff2-528f648;/src/main/java/org/elasticsearch/search/aggregations/bucket/global/GlobalAggregator;createInternal(AggregationContext,Aggregator,boolean,Map<String,Object>);
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_0fd7ed4_77ac452/rev_0fd7ed4-77ac452;/src/main/java/org/elasticsearch/index/query/MatchAllQueryParser;parse(QueryParseContext);
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_ed094aa_a536bd5/rev_ed094aa-a536bd5;/src/main/java/org/elasticsearch/index/query/TermQueryParser;parse(QueryParseContext);
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_b2e63bd_5a0c456/rev_b2e63bd-5a0c456;/src/main/java/org/elasticsearch/index/query/SpanTermQueryParser;parse(QueryParseContext);
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_b2e63bd_5a0c456/rev_b2e63bd-5a0c456;/src/main/java/org/elasticsearch/index/query/TermQueryParser;parse(QueryParseContext);
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_b2e63bd_5a0c456/rev_b2e63bd-5a0c456;/src/main/java/org/elasticsearch/index/query/RangeQueryParser;parse(QueryParseContext);
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_5aaebb6_e97353e/rev_5aaebb6-e97353e;/src/main/java/org/elasticsearch/action/support/replication/ShardReplicationOperationRequest;timeout(String);public final T timeout(String timeout) {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_6f002ff_37bdbe0/rev_6f002ff-37bdbe0;/src/test/java/org/elasticsearch/indices/SealTests;testUnallocatedShardsDoesNotHang();@Test    public void testUnallocatedShardsDoesNotHang() throws InterruptedException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_bbbeb46_d23449e/rev_bbbeb46-d23449e;/src/main/java/org/elasticsearch/index/query/TermQueryParser;parse(QueryParseContext);
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_b1f6d1a_39a20c3/rev_b1f6d1a-39a20c3;/src/main/java/org/elasticsearch/index/query/SpanTermQueryParser;parse(QueryParseContext);
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_b1f6d1a_39a20c3/rev_b1f6d1a-39a20c3;/src/main/java/org/elasticsearch/index/query/RangeQueryParser;parse(QueryParseContext);
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_dae9750_a138f62/rev_dae9750-a138f62;/src/main/java/org/elasticsearch/action/support/nodes/NodesOperationRequest;timeout(String);@SuppressWarnings("unchecked")    public final T timeout(String timeout) {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_dae9750_a138f62/rev_dae9750-a138f62;/src/main/java/org/elasticsearch/action/support/master/MasterNodeOperationRequest;masterNodeTimeout(String);public final T masterNodeTimeout(String timeout) {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/RegexpQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/ExistsQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/NotQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/WrapperQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/RegexpQueryBuilder;doXContent(XContentBuilder,Params);@Override    public void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/RangeQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/SpanNotQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/SpanNotQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/MatchQueryBuilder;doXContent(XContentBuilder,Params);@Override    public void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/GeoDistanceRangeQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/GeoDistanceQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/SpanContainingQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/SpanMultiTermQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params)            throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/OrQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/FilteredQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/QueryStringQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/GeoPolygonQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/BoolQueryParser;parse(QueryParseContext);@Override    public Query parse(QueryParseContext parseContext) throws IOException, QueryParsingException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/HasChildQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/MatchQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/FieldMaskingSpanQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/QueryBuilders;termsLookupQuery(String);public static TermsQueryBuilder termsLookupQuery(String name) {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/HasChildQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/AndQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/BoostingQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/ScriptQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/GeoShapeQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/NestedQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/GeoBoundingBoxQueryParser;parse(QueryParseContext);@Override    public Query parse(QueryParseContext parseContext) throws IOException, QueryParsingException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/DisMaxQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/TypeQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/AndQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/SpanFirstQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/TermsQueryParser;parse(QueryParseContext);@Override    public Query parse(QueryParseContext parseContext) throws IOException, QueryParsingException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/test/java/org/elasticsearch/index/query/SimpleIndexQueryParserTests;parse(QueryParseContext);@Override        public Query parse(QueryParseContext parseContext) throws IOException, QueryParsingException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/GeoPolygonQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/WildcardQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/NestedQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/ConstantScoreQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/PrefixQueryBuilder;doXContent(XContentBuilder,Params);@Override    public void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/PrefixQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/ExistsQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/GeoShapeQueryParser;getArgs(ShapeBuilder,ShapeRelation);public static SpatialArgs getArgs(ShapeBuilder shape, ShapeRelation relation) {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/LimitQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/NotQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/IndicesQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/MultiMatchQueryParser;parse(QueryParseContext);@Override    public Query parse(QueryParseContext parseContext) throws IOException, QueryParsingException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/MissingQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/FuzzyQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/FilteredQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/SpanOrQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/RangeQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/BoostingQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/FuzzyQueryBuilder;doXContent(XContentBuilder,Params);@Override    public void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/GeoBoundingBoxQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/ConstantScoreQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/DisMaxQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/SimpleQueryStringFlag;resolveFlags(String);static int resolveFlags(String flags) {
